ranking,score,movie_name,score_num,movie_url
209,8.5,模仿游戏,260979,https://movie.douban.com/subject/10463953/
210,8.6,荒野生存,129937,https://movie.douban.com/subject/1905462/
211,8.4,变脸,218250,https://movie.douban.com/subject/1292659/
212,9.1,迁徙的鸟,52429,https://movie.douban.com/subject/1292281/
213,9.2,城市之光,45078,https://movie.douban.com/subject/1293908/
214,8.5,E.T. 外星人,155790,https://movie.douban.com/subject/1294638/
215,8.4,美国丽人,188743,https://movie.douban.com/subject/1292062/
216,8.4,发条橙,188907,https://movie.douban.com/subject/1292233/
217,9.1,黄金三镖客,52249,https://movie.douban.com/subject/1401118/
218,8.4,无耻混蛋,227129,https://movie.douban.com/subject/1438652/
219,8.3,初恋这件小事,470184,https://movie.douban.com/subject/4739952/
220,8.4,英国病人,176310,https://movie.douban.com/subject/1291853/
221,8.6,燕尾蝶,109093,https://movie.douban.com/subject/1307793/
222,8.7,一个叫欧维的男人决定去死,119770,https://movie.douban.com/subject/26628357/
223,8.8,爱在午夜降临前,118514,https://movie.douban.com/subject/10808442/
224,8.4,你的名字。,475719,https://movie.douban.com/subject/26683290/
225,8.6,非常嫌疑犯,118345,https://movie.douban.com/subject/1292214/
226,8.6,叫我第一名,110461,https://movie.douban.com/subject/4798888/
227,8.3,穆赫兰道,238674,https://movie.douban.com/subject/1292217/
228,8.8,请以你的名字呼唤我,139292,https://movie.douban.com/subject/26799731/
229,8.9,勇士,88801,https://movie.douban.com/subject/3217169/
230,8.6,无敌破坏王,187330,https://movie.douban.com/subject/6534248/
231,8.3,疯狂的石头,320183,https://movie.douban.com/subject/1862151/
232,9.0,无人知晓,56317,https://movie.douban.com/subject/1292337/
233,8.6,上帝也疯狂,97480,https://movie.douban.com/subject/1297478/
234,8.3,国王的演讲,345362,https://movie.douban.com/subject/4023638/
235,8.5,血钻,134101,https://movie.douban.com/subject/1428175/
236,8.8,步履不停,73363,https://movie.douban.com/subject/2222996/
237,8.3,蓝色大门,275427,https://movie.douban.com/subject/1308575/
238,8.6,枪火,101116,https://movie.douban.com/subject/1300741/
239,8.6,大卫·戈尔的一生,94446,https://movie.douban.com/subject/1305725/
240,8.4,彗星来的那一夜,179847,https://movie.douban.com/subject/25807345/
241,9.0,爱·回家,47944,https://movie.douban.com/subject/1299361/
242,8.5,遗愿清单,130545,https://movie.douban.com/subject/1867345/
243,9.0,我爱你,58231,https://movie.douban.com/subject/5908478/
244,8.7,千钧一发,87090,https://movie.douban.com/subject/1300117/
245,8.5,荒岛余生,136077,https://movie.douban.com/subject/1298653/
246,8.5,麦兜故事,129555,https://movie.douban.com/subject/1302476/
247,8.4,暖暖内含光,146463,https://movie.douban.com/subject/1308777/
248,8.3,曾经,205005,https://movie.douban.com/subject/2053515/
249,8.5,月球,145512,https://movie.douban.com/subject/3073124/
250,8.5,黑鹰坠落,114291,https://movie.douban.com/subject/1291824/
